"id","brand","model","reg_number","owner_id"
"101","Toyota","Aqua","GH5634","3"
"102","Toyota","Yaris","BD7253","6"
"103","Toyota","Corolla","ME2745","9"
"104","Toyota","Axios","NE9465","5"
"105","Suzuki","Swift","HG6512","9"
"106","Suzuki","Alto","EW0123","7"
"107","Suzuki","Alto","CS6523","1"
"108","Suzuki","Aqua","FS8563","4"
"109","Suzuki","Aqua","FE8723","7"
"110","Audi","A8","JW9830","3"
"111","Audi","Q3","BH4562","10"
"112","Audi","Aqua","BA7613","2"
"113","Toyota","Prius","LW9824","8"
"114","Toyota","Avalon","BF3409","5"
"115","Toyota","Aqua","JQ7613","3"
